tool_name,category
"Pharmacy Daily Worksheet – A3, Bond paper, Hard cover, Hard bond",Adult Treatment
"Appointment Book - Bond paper, A4, Spiral Bond, Hard Cover",Adult Treatment
Community DSD Monitoring Register,Adult Treatment
Facility DSD Register,Adult Treatment
HIV Care and Treatment Transfer Form,Adult Treatment
Viral Load  Monitoring Register,Adult Treatment
Enhanced Adherence Counselling  Form,Adult Treatment
Enhanced Adherence Counselling  Monitoring Register,Adult Treatment
 DSD Assesment & Acceptance form,Adult Treatment
"Missed Appointment Register - A3, Bond paper, Hard cover, Hard bond",Adult Treatment
Advanced HIV Disease Intensive Patient  Follow up,Adult Treatment
"Client Intake Form - Bond paper, A4, Hard Bond, Soft Cover",Prevention
"Result and Request Form - Duplicate, Quoto, Soft Bond, Soft Cover",Prevention
"HTS Monthly Summary Form - Triplicate, A4, Soft Bond, Soft Cover",Prevention
"HIV testing screening checklist - 100 sheets, A4, Bond paper, Soft cover, Soft bond",Prevention
Bandasons's Screening tool or HIV Risk Assesment Tool,Prevention
"Partner Notification Service Form –  A4, Soft Bond, Soft Cover",Prevention
"Index Testing Register -  Bond paper, A3, Hard Bond, Hard Cover",Prevention
"Index Testing Monthly Summary Form -  Triplicate, A4, Soft Bond, Soft Cover",Prevention
"HIV Testing Services Register - Bond paper, A3, Hard Bond, Hard Cover",Prevention
"HTS Referral Register - Bond paper, A3, Hard Bond, Hard Cover",Prevention
"Client Referral Form - A4 Portrait, Triplicate, Soft Bond, Soft Cover",Prevention
"HIV Self-Testing Register - Bond paper, A3, Hard Bond, Hard Cover",Prevention
"HIV Self-Testing Monthly Summary Form - Triplicate, A4, Soft Bond, Soft Cover",Prevention
"Rapid Test for Recent Infection Proficiency Testing (PT) Result form - Bond paper, A4, Hard Bond, Soft Cover",Prevention
"Adverse Event Tracking Register - Bond paper, A3, Hard Bond, Hard Cover",Prevention
"Inventory Control Card – A4, Card printed in the front",Prevention
"Rapid Test for Recent Infection Form - Bond paper, A4, Hard Bond, Soft Cover",Prevention
Rapid Test for Recent Infection (RTRI) Quality Control (QC) Logbook,Prevention
"SOP for Eligibility and Consent – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for Asante Rapid HIV-1 Recency Assay – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for Data Collection – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for Data capture for Known Positive Retest – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for Reporting Adverse Events – Booklet, Bond Paper, Soft Bond",Prevention
"Statement of Intent to maintain Confidentiality - Bond paper, A4, Hard Bond, Soft Cover",Prevention
"SOP for Collection and Handling of Venous Blood for Viral Load Testing – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for Collection, Handling, and transportation of Dried Blood Spot (DBS) Specimens using venous blood for Viral Load Testing – Booklet, Bond Paper, Soft Bond",Prevention
"SOP for QA and QC for Nigeria Recency Infection Surveillance – Booklet, Bond Paper, Soft Bond",Prevention
"Trace Incident Reporting Form - Bond paper, A4, Hard Bond, Soft Cover",Prevention
"Daily HIV Test Worksheet - Bond paper, A3, Hard Bond, Hard Cover",Prevention
PrEP Eligibility form,Prevention
PrEP Eligibility Register,Prevention
PrEP MSF Monthly summary form,Prevention
PrEP Register,Prevention
PrEP card,Prevention
HIV Self-Test Response and Referral Card,Prevention
Family Index Testing Form,Prevention
"PMTCT Monthly  Summary Form - Triplicate, A4, Soft Bond, Soft Cover",PMTCT
"Maternal Reporting Form - A4, Triplicate, Soft cover, Soft bond",PMTCT
"HEI Reporting Form - A4, Triplicate, Soft cover, Soft bond",PMTCT
"General ANC Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
"PMTCT HTS Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
"Partner Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
"Delivery Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
"Child Follow-up Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
"TB ANC screening tool - A4, Duplicate, Soft cover, Soft bond",PMTCT
"PMTCT TB presumptive register - A4, Duplicate, Soft cover, Soft bond",PMTCT
"PMTCT TPT Monitoring register - A4, Duplicate, Soft cover, Soft bond",PMTCT
"Maternal Cohort Register - Bond paper, A3, Hard Bond, Hard Cover",PMTCT
 Cervical cancer screening and treatment register,PMTCT
 Cervical cancer screening and treatment referral tracker,PMTCT
 Referral  slips (booklet),PMTCT
VIA Screening forms(booklet),PMTCT
 Cervical cancer screening and treatment monthly summary forms,PMTCT
"TPT Cohort Register - Bond paper, A3, Hard Bond, Hard Cover",TB
"IPT Screening Tool - A4, Card printed front and back",TB
"TB referral volunteers register - A3, Bond paper, Hard cover, Hard bond",TB
"PLHIV Presumptive TB Diagnostic Evaluation and Treatment Register -  A3, Bond paper, Hard cover, Hard bond",TB
Patient Locator Form,TB
Referral Forms ,TB
Tally Cards,TB
TB Screening Status Register,TB
"National Gender Based Violence (GBV) Incidence Form - A4, Bond paper, Soft Cover, Soft Bond",Gender
"National Gender Based Violence (GBV) Client Screening and Intake form - A4, Bond paper, Soft Cover, Soft Bond",Gender
"National Gender Based Violence (GBV) Care Register - A3, Bond paper, Hard cover, Hard bond",Gender
"Gender – GBV Prevention / Outreach Log - A4, Card printed in the front",Gender
"Gender Based Violence (GBV) Routine Enquiry Tool - Bond paper, A4, Hard Bond, Soft Cover",Gender
"Gender Based Violence (GBV) Routine Enquiry Tool (Treatment Support) - Bond paper, A4, Hard Bond, Soft Cover",Gender
"Gender – GBV Training LOG - A4, Card printed in the front",Gender
"Gender – GBV Monthly Reporting Summary: Referrals - A4, Bond paper, Soft Cover, Soft Bond",Gender
"Follow-Up Patient Form: PEP and POST PEP HIV TEST - A4, Bond paper, Soft Cover, Soft Bond",Gender
